form_schluessel;lemma;tokens;grund;beispiele
alders;lemma_156;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_15va_19_4 alders | WZB_141ra_19_4 alders | WZB_227va_15_0 alders
vortragen;lemma_19874;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_16ra_3_1 vortragen | WZB_19va_31_0 vortragen | WZB_19vb_12_2 vortragen
vortilge;lemma_6992;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_16rb_9_7 vortilge | WZB_88vb_23_0 vortilge | WZB_190vb_11_3 vortilge
wŏllet;lemma_7473;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_16va_14_2 wŏllet | WZB_22va_7_2 wŏllet | WZB_34va_31_0 wŏllet
enczvnten;lemma_1511;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_19rb_13_3 enczvnten | WZB_19rb_19_5 enczvnten | WZB_19rb_31_2 enczvnten
ner;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_20ra_2_0 ner | WZB_46va_24_0 ner | WZB_62rb_2_0 ner
czwiualdigen;lemma_7952;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_20va_24_2 czwiualdigen | WZB_23rb_21_2 czwiualdigen | WZB_52rb_10_3 czwiualdigen
camel;lemma_13480;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_20vb_37_4 camel | WZB_21ra_5_3 camel | WZB_22vb_37_1 camel
gekochte;lemma_3391;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_23vb_35_6 gekochte | WZB_26rb_14_5 gekochte | WZB_99vb_32_0 gekochte
erstgeborne;lemma_34610;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_26rb_21_7 erstgeborne | WZB_38vb_19_7 erstgeborne | WZB_48va_35_4 erstgeborne
gesegenst;lemma_5364;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_26va_22_2 gesegenst | WZB_33rb_10_1 gesegenst | WZB_157rb_8_2 gesegenst
fleckecht;lemma_68428;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_29vb_6_4 fleckecht | WZB_29vb_13_5 fleckecht | WZB_29vb_20_2 fleckecht
knechtlein;lemma_3377;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_30va_26_2 knechtlein | WZB_77vb_30_0 knechtlein | WZB_104ra_16_0 knechtlein
housrat;lemma_9890;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_31va_7_0 housrat | WZB_48ra_20_0 housrat | WZB_153vb_25_5 housrat
weiden;lemma_7449;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_37vb_13_0 weiden | WZB_37vb_27_3 weiden | WZB_124rb_6_5 weiden
vorkoufen;lemma_6879;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_38rb_12_8 vorkoufen | WZB_50rb_4_1 vorkoufen | WZB_75va_11_1 vorkoufen
gelobist;lemma_3830;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_39rb_25_4 gelobist | WZB_189va_22_5 gelobist | WZB_189vb_30_3 gelobist
seideinen;lemma_5429;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_42vb_22_0 seideinen | WZB_80vb_2_4 seideinen | WZB_81vb_6_1 seideinen
haldende;lemma_2629;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_45va_20_2 haldende | WZB_60vb_19_3 haldende | WZB_64vb_31_1 haldende
dei;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_46va_23_5 dei | WZB_51va_34_5 dei | WZB_90ra_32_1 dei
vorkoufunge;lemma_44905;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_49vb_28_4 vorkoufunge | WZB_126rb_2_4 vorkoufunge | WZB_126rb_10_5 vorkoufunge
vorwandilt;lemma_7012;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_59vb_4_1 vorwandilt | WZB_110va_30_3 vorwandilt | WZB_111rb_23_6 vorwandilt
croten;lemma_3485;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_60va_6_3 croten | WZB_60va_9_0 croten | WZB_60va_21_0 croten
wanczen;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_60vb_18_0 wanczen | WZB_60vb_21_8 wanczen | WZB_60vb_24_3 wanczen
sowerteig;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_65ra_17_2 sowerteig | WZB_100ra_21_1 sowerteig | WZB_103va_25_2 sowerteig
ouslendiger;lemma_45128;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_66rb_12_0 ouslendiger | WZB_121vb_36_1 ouslendiger | WZB_122ra_19_4 ouslendiger
pilgereimet;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_66rb_35_0 pilgereimet | WZB_117rb_18_4 pilgereimet | WZB_117rb_33_4 pilgereimet
volgende;lemma_74368;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_68va_11_2 volgende | WZB_68vb_8_4 volgende | WZB_205vb_5_1 volgende
gepitunge;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_73ra_35_3 gepitunge | WZB_186rb_26_4 gepitunge | WZB_203ra_20_4 gepitunge
czorniger;lemma_7898;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_74va_3_4 czorniger | WZB_180rb_3_4 czorniger | WZB_181va_18_6 czorniger
czwiualdig;lemma_7952;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_76va_6_3 czwiualdig | WZB_76va_25_6 czwiualdig | WZB_76vb_3_7 czwiualdig
gefuren;lemma_7283;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_76va_37_0 gefuren | WZB_147ra_27_4 gefuren | WZB_163vb_12_3 gefuren
besee;lemma_61071;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_77va_30_7 besee | WZB_119ra_15_1 besee | WZB_125rb_21_5 besee
sethimischen;lemma_16163;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_80rb_17_0 sethimischen | WZB_81vb_13_3 sethimischen | WZB_82ra_29_0 sethimischen
vmbhenge;lemma_9487;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_80vb_21_5 vmbhenge | WZB_82va_12_5 vmbhenge | WZB_82va_20_4 vmbhenge
vbirdecken;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_81rb_3_2 vbirdecken | WZB_81rb_12_1 vbirdecken | WZB_94ra_12_0 vbirdecken
furhank;lemma_30875;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_81vb_5_6 furhank | WZB_81vb_18_3 furhank | WZB_81vb_20_0 furhank
henge;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_81vb_12_4 henge | WZB_83vb_13_0 henge | WZB_98ra_3_4 henge
thimiamisch;lemma_11856;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_86va_9_1 thimiamisch | WZB_86vb_8_1 thimiamisch | WZB_87vb_4_0 thimiamisch
hŏrner;lemma_2904;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_86va_14_6 hŏrner | WZB_95va_8_1 hŏrner | WZB_95va_34_0 hŏrner
vorhange;lemma_30875;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_86va_28_1 vorhange | WZB_98va_19_2 vorhange | WZB_101ra_14_2 vorhange
gegossens;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_88va_12_1 gegossens | WZB_88vb_12_1 gegossens | WZB_185vb_28_0 gegossens
vorsaczes;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_92vb_7_7 vorsaczes | WZB_97vb_5_0 vorsaczes | WZB_121ra_9_7 vorsaczes
mittages;lemma_20031;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_94ra_36_4 mittages | WZB_98va_13_4 mittages | WZB_145vb_30_6 mittages
gewurmeltem;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_94va_13_2 gewurmeltem | WZB_94va_24_2 gewurmeltem | WZB_96rb_7_1 gewurmeltem
scoten;lemma_78668;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_96va_34_0 scoten | WZB_137vb_13_2 scoten | WZB_138ra_8_1 scoten
ousvart;lemma_9775;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_98vb_32_2 ousvart | WZB_130rb_7_4 ousvart | WZB_171rb_21_2 ousvart
czige;lemma_26851;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_100va_37_4 czige | WZB_101vb_27_4 czige | WZB_122va_20_1 czige
vogiln;lemma_7154;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_105ra_15_1 vogiln | WZB_109ra_17_2 vogiln | WZB_109rb_10_0 vogiln
tŏtte;lemma_6133;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_105vb_13_4 tŏtte | WZB_106ra_16_6 tŏtte | WZB_107rb_1_4 tŏtte
vlossen;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_109ra_5_4 vlossen | WZB_109ra_8_7 vlossen | WZB_109ra_14_6 vlossen
totis;lemma_6118;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_109ra_13_4 totis | WZB_109va_3_4 totis | WZB_109va_32_5 totis
levitici;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_110ra_2_0 levitici | WZB_116vb_37_0 levitici | WZB_120vb_40_0 levitici
cedrein;lemma_31075;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_112va_10_3 cedrein | WZB_112va_16_0 cedrein | WZB_114ra_10_2 cedrein
sechster;lemma_5369;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_112vb_14_0 sechster | WZB_112vb_32_3 sechster | WZB_113ra_26_1 sechster
speisen;lemma_5669;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_113va_8_0 speisen | WZB_123va_4_4 speisen | WZB_165va_4_1 speisen
vorgebunge;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_116vb_4_3 vorgebunge | WZB_125va_21_0 vorgebunge | WZB_125va_23_1 vorgebunge
nevkomen;lemma_8598;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_119vb_3_3 nevkomen | WZB_126ra_24_0 nevkomen | WZB_126va_12_3 nevkomen
funfczigste;lemma_37908;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_125va_19_2 funfczigste | WZB_125va_29_3 funfczigste | WZB_141ra_20_0 funfczigste
abtgote;lemma_39;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_127ra_26_2 abtgote | WZB_160vb_6_0 abtgote | WZB_171va_31_3 abtgote
achtunge;lemma_24378;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_129ra_22_0 achtunge | WZB_129rb_10_1 achtunge | WZB_129va_9_2 achtunge
czalte;lemma_7793;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_133rb_11_2 czalte | WZB_133sra_13_7 czalte | WZB_134va_20_1 czalte
funfczigsten;lemma_37908;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_133srb_23_0 funfczigsten | WZB_134va_25_5 funfczigsten | WZB_134vb_5_3 funfczigsten
iacincteinen;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_133sva_6_0 iacincteinen | WZB_133sva_9_2 iacincteinen | WZB_133sva_21_3 iacincteinen
vorvluchten;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_135vb_23_7 vorvluchten | WZB_135vb_29_5 vorvluchten | WZB_219va_23_5 vorvluchten
silbereines;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_138va_20_5 silbereines | WZB_138vb_20_5 silbereines | WZB_139ra_6_6 silbereines
widersagunge;lemma_64708;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_154va_33_3 widersagunge | WZB_155rb_10_1 widersagunge | WZB_163va_34_2 widersagunge
gepowet;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_156va_24_4 gepowet | WZB_170rb_29_6 gepowet | WZB_182vb_23_0 gepowet
richticlichen;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_166ra_9_1 richticlichen | WZB_166ra_21_0 richticlichen | WZB_166rb_13_2 richticlichen
gemowerten;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_169vb_8_1 gemowerten | WZB_169vb_15_3 gemowerten | WZB_170rb_23_1 gemowerten
poslich;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_185va_15_3 poslich | WZB_193vb_25_3 poslich | WZB_210rb_28_0 poslich
westnischen;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_188va_12_9 westnischen | WZB_221rb_15_2 westnischen | WZB_221rb_34_2 westnischen
nordnischen;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_221rb_27_4 nordnischen | WZB_232va_18_1 nordnischen | WZB_232vb_7_9 nordnischen
mageschefte;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_233rb_24_2 mageschefte | WZB_233rb_27_2 mageschefte | WZB_233va_7_2 mageschefte
enpfant;lemma_1436;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_2ra_23_6 enpfant | WZB_17va_3_0 enpfant | WZB_26ra_17_6 enpfant
bŏses;lemma_788;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_5ra_31_2 bŏses | WZB_32ra_24_1 bŏses | WZB_38va_4_6 bŏses
yeclichem;lemma_3006;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_7va_19_2 yeclichem | WZB_46ra_13_2 yeclichem | WZB_49vb_22_4 yeclichem
hŏrest;lemma_2885;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_20rb_33_1 hŏrest | WZB_45rb_23_0 hŏrest | WZB_69vb_14_7 hŏrest
wŏllen;lemma_7473;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_33va_23_4 wŏllen | WZB_34vb_16_3 wŏllen | WZB_74ra_34_4 wŏllen
wŏlt;lemma_7473;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_34vb_3_0 wŏlt | WZB_45ra_14_7 wŏlt | WZB_46va_15_0 wŏlt
schŏner;lemma_5280;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_41vb_6_1 schŏner | WZB_42ra_34_5 schŏner | WZB_42rb_16_3 schŏner
yeclichen;lemma_3006;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_44rb_5_5 yeclichen | WZB_52rb_5_6 yeclichen | WZB_104rb_30_2 yeclichen
grŏser;lemma_2534;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_51rb_24_3 grŏser | WZB_51va_15_1 grŏser | WZB_74ra_25_0 grŏser
tŏtet;lemma_6133;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_53vb_33_6 tŏtet | WZB_76rb_23_5 tŏtet | WZB_104ra_30_0 tŏtet
dŏner;lemma_1198;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_62va_17_6 dŏner | WZB_62va_25_3 dŏner | WZB_62vb_7_6 dŏner
weisen;lemma_78688;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_77ra_18_1 weisen | WZB_77ra_26_0 weisen | WZB_77ra_27_1 weisen
ŏpfel;lemma_261;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_84rb_10_1 ŏpfel | WZB_127vb_25_1 ŏpfel | WZB_146ra_29_4 ŏpfel
gehŏret;lemma_2885;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_87rb_35_1 gehŏret | WZB_133va_19_5 gehŏret | WZB_147va_9_8 gehŏret
te;lemma_2;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_138va_2_0 te | WZB_158ra_2_0 te | WZB_226rb_2_0 te
st;lemma_2;4;kein Typ fuer dieses Paar im Korpus belegt;WZB_196va_8_0 st | WZB_200va_26_0 st | WZB_201va_17_0 st
gevŏgel;lemma_2317;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_4ra_23_2 gevŏgel | WZB_4ra_29_2 gevŏgel | WZB_9ra_27_3 gevŏgel
hŏhe;lemma_2881;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_7rb_32_0 hŏhe | WZB_8ra_25_5 hŏhe | WZB_10va_15_0 hŏhe
hŏchsten;lemma_2866;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_13rb_12_1 hŏchsten | WZB_159ra_6_2 hŏchsten | WZB_172ra_37_1 hŏchsten
vorkoufte;lemma_6879;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_24ra_8_5 vorkoufte | WZB_43rb_34_0 vorkoufte | WZB_43va_18_1 vorkoufte
uii;lemma_2;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_25rb_26_9 UII | WZB_104rb_32_3 UII | WZB_137rb_7_3 UII
ŏhems;lemma_4472;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_27ra_2_3 ŏhems | WZB_28ra_6_2 ŏhems | WZB_120rb_29_3 ŏhems
pŏcke;lemma_784;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_29vb_18_5 pŏcke | WZB_115vb_6_0 pŏcke | WZB_115vb_11_3 pŏcke
gehŏren;lemma_2885;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_33va_24_2 gehŏren | WZB_108va_14_2 gehŏren | WZB_207ra_12_2 gehŏren
grŏse;lemma_2534;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_42va_13_2 grŏse | WZB_50ra_27_3 grŏse | WZB_69rb_18_0 grŏse
grŏste;lemma_2534;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_46ra_4_4 grŏste | WZB_73ra_29_7 grŏste | WZB_121ra_19_1 grŏste
lŏsen;lemma_3837;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_66vb_34_0 lŏsen | WZB_130ra_7_2 lŏsen | WZB_152va_12_2 lŏsen
xui;lemma_13826;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_80va_33_4 XUI | WZB_115rb_32_5 XUI | WZB_149rb_12_4 XUI
gevŏgiltem;lemma_2317;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_84va_9_2 gevŏgiltem | WZB_94va_16_0 gevŏgiltem | WZB_96rb_5_2 gevŏgiltem
gerŏst;lemma_13271;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_84vb_8_2 gerŏst | WZB_85va_25_3 gerŏst | WZB_103vb_17_2 gerŏst
hŏer;lemma_2866;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_96rb_34_1 hŏer | WZB_203rb_21_4 hŏer | WZB_205va_33_4 hŏer
wŭstenunge;lemma_59071;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_116rb_17_4 wŭstenunge | WZB_149vb_18_2 wŭstenunge | WZB_188va_10_2 wŭstenunge
veigen;lemma_7052;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_146ra_30_2 veigen | WZB_154rb_5_5 veigen | WZB_184vb_11_0 veigen
pŏsen;lemma_788;3;kein Typ fuer dieses Paar im Korpus belegt;WZB_195ra_36_1 pŏsen | WZB_199ra_21_4 pŏsen | WZB_200ra_26_0 pŏsen
gevŏgeln;lemma_2317;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_3rb_27_6 gevŏgeln | WZB_7va_37_3 gevŏgeln
hŏrt;lemma_2885;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_6ra_29_0 Hŏrt | WZB_64rb_26_0 Hŏrt
gevŏgil;lemma_2317;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_8ra_13_6 gevŏgil | WZB_13va_33_1 gevŏgil
herte;lemma_78648;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_19ra_16_3 herte | WZB_28ra_9_1 herte
vorkouften;lemma_6879;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_38rb_19_6 vorkouften | WZB_38va_16_4 vorkouften
kŏrbe;lemma_3412;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_41rb_12_4 kŏrbe | WZB_41rb_20_0 kŏrbe
kochen;lemma_3391;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_70vb_34_2 kochen | WZB_123rb_32_2 kochen
ŏre;lemma_4447;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_75rb_37_4 ŏre | WZB_192va_9_5 ŏre
kŏpfe;lemma_3405;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_80rb_29_5 kŏpfe | WZB_80va_10_1 kŏpfe
tŏpfe;lemma_6144;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_82rb_2_1 tŏpfe | WZB_95vb_2_6 tŏpfe
tŏchtern;lemma_6135;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_91va_17_3 tŏchtern | WZB_200rb_22_2 tŏchtern
xuii;lemma_13826;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_116vb_27_4 XUII | WZB_151rb_10_3 XUII
frŭchte;lemma_7273;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_124ra_34_0 frŭchte | WZB_126ra_7_0 frŭchte
lŏset;lemma_3837;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_126vb_35_6 lŏset | WZB_215rb_17_4 lŏset
vinsternŭsse;lemma_7089;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_179va_28_2 vinsternŭsse | WZB_182ra_8_2 vinsternŭsse
pŏse;lemma_788;2;kein Typ fuer dieses Paar im Korpus belegt;WZB_194ra_15_1 pŏse | WZB_196rb_35_3 pŏse
yecliches;lemma_3006;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_3ra_9_4 yecliches
zde;lemma_78628;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_4rb_23_0 zde
dŏrner;lemma_1202;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_5ra_14_3 Dŏrner
yeclichs;lemma_3006;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_8ra_11_5 yeclichs
vŏgeln;lemma_7154;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_9rb_19_2 vŏgeln
gegrŏzet;lemma_75133;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_17ra_13_5 gegrŏzet
blŏse;lemma_9823;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_25vb_11_8 blŏse
ŏles;lemma_4455;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_26rb_5_5 ŏles
erhŏret;lemma_1576;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_28vb_33_4 erhŏret
erlŏse;lemma_1611;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_32va_25_6 Erlŏse
bŏcke;lemma_784;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_32vb_3_3 bŏcke
wunderschŏne;lemma_9118;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_41va_35_4 wunderschŏne
ŏchsen;lemma_4480;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_42rb_4_1 ŏchsen
vorkoufende;lemma_6879;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_50ra_26_2 vorkoufende
fŭnf;lemma_7285;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_53rb_20_4 fŭnf
ʒbohem;lemma_78628;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_53vb_38_2 ʒbohem
krŏten;lemma_3485;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_60rb_21_3 krŏten
ŏren;lemma_4447;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_62vb_26_3 ŏren
lŏste;lemma_3837;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_68vb_16_6 lŏste
rŏcke;lemma_4956;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_85ra_8_6 rŏcke
gerŏte;lemma_4963;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_93ra_12_5 gerŏte
gerŏten;lemma_4963;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_97va_33_3 gerŏten
rŏcken;lemma_4956;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_108ra_9_0 rŏcken
ŏls;lemma_4455;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_113rb_7_6 ŏls
wŭnschet;lemma_7716;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_116rb_10_6 wŭnschet
abgŏten;lemma_39;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_118va_26_2 abgŏten
kŏrner;lemma_3409;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_118vb_12_2 kŏrner
lŏcher;lemma_3834;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_119rb_20_0 lŏcher
vorkoufest;lemma_6879;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_125vb_3_2 vorkoufest
hŏue;lemma_2816;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_126va_6_3 hŏue
ŏpfeln;lemma_261;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_127rb_4_1 ŏpfeln
pŭrden;lemma_924;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_137va_25_0 pŭrden
mŏrinne;lemma_4185;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_145ra_16_3 mŏrinne
schŏpfet;lemma_5212;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_149va_24_5 schŏpfet
lŏsunge;lemma_12150;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_152va_5_5 lŏsunge
erslŭge;lemma_1648;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_158ra_23_2 erslŭge
hŏrer;lemma_20910;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_159vb_15_2 hŏrer
frŭnt;lemma_7246;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_173ra_29_4 frŭnt
tŏte;lemma_6118;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_181vb_24_1 tŏte
behŭt;lemma_467;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_183vb_6_6 behŭt
schŏpfers;lemma_5211;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_211ra_13_0 schŏpfers
gekŏse;lemma_18760;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_212va_10_1 gekŏse
dŏrfer;lemma_1201;1;kein Typ fuer dieses Paar im Korpus belegt;WZB_234ra_29_5 dŏrfer
