TITLE;AUTHOR;EDITION;DESCRIPTION;LINECODE;IMAGE;TYPE;TITLEEXTENTION;ORIGIN;EDITIONINFO;VOLUMEID;VOLUMETITEL;ID;PUBYEAR;PUBFREE;Kapitel in Edition?;Zerlegung erforderlich?;Spalte1;Datum Zitat GND;Datum Zitat VL;Stellenangabe VL;Datum von;Datum bis;Datum Abweichung;Norm Werk WikiData;Norm Werk GND;MWB-Sigle;Norm Bibl DND;Norm Bibl Google Books;Norm Bibl ÖNB
Diu urstende;827;"Konrad von Heimesfurt.""Unser vrouwen hinvart"" und ""Diu urstende"". Mit Verwendung der Vorarbeiten von Werner Fechter hrsg. v. Kurt Gärtner und Werner J. Hoffmann. Tübingen: Niemeyer, 1989. S. 53-129.(= ATB Bd. 99)";"Besteht aus 2162 Verszeilen mit einer Zeile Überschrift.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000----h;;4;;Hauptquelle war das lateinische apokryphe 'Evangelium Nicodemi', dessen Inhalt Konrad im Prolog zusammenfasst (53-68) und als dessen Verfasser er einen Juden namens Eneas (54) nennt. Dieses Werk war wiederum aus den 'Gesta Pilati' und dem 'Descensus' gebildet. Von dem 'E.N.' gab es zwei Fassungen (A und B). Konrad benutzte wahrscheinlich B, von der man bislang nur ca. ein dutzend Hss. kennt.;"Das Werk ist nur in einer Hs.(V) vollständig überliefert. Etwa ein Drittel des Textes ist in 5 Hss.(W,G,Ms,Ws,Gz) der Weltchronik Heinrichs von München erhalten.

V = Wien Österr. Nationalbibl.,um 1300, Cod. 2696, Bl. 20vb-35ra, 

W = Wolfenbüttel, Herzog-August-Bibl., spätes 14. Jh., Cod.Guelf.1.5.2. Aug.fol. 3 Sp. ab Bl. 252v. 

G = Gotha. Forschungsbibl., 1398 beendet, Cod.Chart, A3; 3 Sp. eingef. in Gundackers von Judenburg 'Christi Hort', Bl.226rc-232rc.

Ms = München, Bair. Staatsbibl., Cgm 7330 (Cim 314)('Runkelsteiner Hs.'), 1394 beendet; 3 Sp. 248va-253vb und 263rc-264ra, Exzerpte.

Ws = Wolfenbüttel, Herzog-August-Bibl., spätes 14. Jh., Cod.Guelf.1.16. Aug.fol. 2 Sp., 1399 beendet. Bl. 174vb-184ra und 202va-204vb Exzerpte.

Gz = Graz, Unibibl., Cod. 470, 2 Sp., 1415 beendet, 232ra-rb;226rc-vb;232rc Exzerpte.";;;URS;1989;1;;;;;;;;;;;;;;;
Aristoteles und Phyllis;;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 492-522. (= Bibl. d. Mittelalters, Bd. 23);"Besteht aus 554 Verszeilen beginnend mit Vers 1.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;Entstehung in beiden letzten Jahrzehnten des 13. Jhs. vermutlich am Oberrhein.;"In drei Hss. überliefert. Eine davon ist verbrannt und nur in einem alten Abdruck erhalten, die andere ist aus der Regensburger Jesuiterbibl. ohne signatur ist verschollen, und nur einzelne Lesarten sind davon erhalten.

S = Elsass um 1330/1350 (1870 verbrannt) Abdruck: Myller, Sammlg. dt. Gedichte III, S. XVII-XXI.

k = Nordschwaben 1430-35. Bl. 83ra-87vb. Abdruck: Schmid, codex Karlsruhe 408, S. 348-362.";NDM;;AUP;1996;1;;;;;;;;;;;;;;;
Schrätel und Wasserbär;;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 698-716. (= Bibl. d. Mittelalters, Bd. 23);"Besteht aus 352 Verszeilen beginnend mit Vers 1.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;"Enstanden Ende 13. Jh. Nur in einer Hs. berliefert:

H = 1. Viertel 14. Jh. in Nordwestböhmen/Oberfranken; Bl. 371ra-372va, 370r(V. 313-352=Schluss).";Edition richtet sich nach der Hs. mit orthografischer Normalisierung.;NDM;Novellistik des Mittelalters;SUW;;;;;;;;;;;;;;;;;
Die drei Mönche zu Kolmar;1007;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 874-896. (= Bibl. d. Mittelalters, Bd. 23);"Besteht aus 404 Verszeilen beginnend mit Vers 1.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;3;;"Enstanden im 14. Jh. Die Autorenangabe 'Niemand' muss als Pseudonym verstanden werden. Nur in einer Hs. überliefert:

l = ""Liedersaal-Hs."" um 1430/33 in Oberschwaben; Bl. 41vb-44rb.";Edition hält sich an die Hs. mit einigen Verbesserungen und normalisierter Ortografie.;NDM;Novellistik des Mittelalters;DDM;;;;;;;;;;;;;;;;;
Werner von Elmendorf;847;Wernher von Elmendorf. Unter Mitarb. von Udo Gerdes et al, hrsg. v. Joachim Bumke. Tübingen: Niemeyer, 1974(= ATB Nr. 77).;"Fragment, bestehend aus 1209 Versen beginnend mit V. 1; bricht ab mit V. 1209.

Das Negationspartikel ""in"", das in der Ausgabe zumeist getrennt vom Verb steht, wurde zum Zweck der besseren Lemmatisierung mit dem Verb verbunden. Beispiel: 'in ist' = 'inist'.

Alle Emendationen und Eingriffe des Herausgebers erscheinen kursiv. Einige vom Hrsg. nur mit '++' markierte fehlende Endungen wurden ergänzt. Das vollständige Wort erscheint kursiv.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;3;;Entstanden vermutlich um 1170. Basiert auf einem lateinischen Moraltraktat.;"Der Text beruht auf Hs. A, einer flüchtigen Abschrift, die den größten Teil des erhaltenen Werkes enthält. Verbesserungen und Ergänzungen wurden auf der Basis des viel kleineren Fragments der Hs.B vorgenommen, die viell. noch unter Aufsicht des Autors entstanden ist.

A = Klosterneuburg, MS 1056,14.Jh., Bl.1-10(f.65-74).

B = Berlin, Staatsbibl. Preuß. Kulturbes., Ms.germ.oct.226. 4 Blätter überliefern 130 Verse vollst. und Reste von 4 weiteren.";;;WVE;;;;;;;;;;;;;;;;;
Die jüngere Judith;;Die jüngere Judith aus der Vorauer Handschrift. Kritisch hrsg. von Hiltgunt Monecke. Tübingen: Niemeyer 1964. (ATB Nr. 61);"Betseht aus 1821 Versen beginnend mit V. 1.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;;;;;JUD;;;;;;;;;;;;;;;;;
Das Rädlein;949;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 618-646. (= Bibl. d. Mittelalters, Bd. 23);"Besteht aus 554 Verszeilen beginnend mit Vers 1.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;Entstanden im ostmitteldeutschen Raum in der zweiten Hälfte des 13. Jahrhunderts. Nur in drei Märenhss. überliefert, eine davon Fragment.;"Die Ausgabe basiert auf dem Text der Heidelberger Hs.

H = Heidelberger Hs.; 1. Viertel des 14. Jhs. Nordböhmen/Oberfranken; 354 ra - 357 rb.

k = Karlsruher Hs.; zwischen 1430 und 1435, Nordschwaben; Codex Karlsruhe 408; 186 vb - 190 va.

Bß = Berliner Fragment, um 1350, ostmdt.; Nr. 3, 2 ra - 2 vb.";NDM;Novellistik des Mittelalters;RDL;1996;1;;;;;;;;;;;;;;;
Der Münchner Oswald;;Der Münchner Oswald. Mit ein em Anhang: die ostschwäbische Prosabearbeitung des 15. Jahrhunderts hrsg. von Michael Curschmann. Tübingen: Niemeyer, 1974. (= ATB Nr 76).;"Besteht aus 3564 Versen beginnend mit V.1.

Lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;Die religiös aufgeladene Geschichte des historisch belegten Oswald von Northumbria ist zum ersten Mal bei Beda belegt. Reginald (Mitte 12. Jh.) geht in einigen biografischen Einzelheiten über Beda hinaus. Heinrich von Avranches verfasste 1227 für die Mönche von Peterborough eine 'Vita et Passio Sancti Oswaldi' in Versen. Um 1170 entstand vermutlich in Regensburg ein deutsches weltliches Kurzepos. Im 14. und 15. Jh. entstanden im süddt. Raum eine Reihe von Versionen in Prosa und Versen.;"Die Ausgabe verwendet die Münchner Hs. als Leithandschrift und ergänzt aus den anderen Hss.

M = Bayrische Staatsbibl., Cgm. 719. Papier, Bayern 1444.

S = Schaffhausen, Stadtbibl., Ms. Gen. 10. Papier, Schaffhausen 1472.

W = Wien, Österreichische Nationalbibl., Cod. 12540, Papier, Bayern, 1. Hälfte 15. Jh.

I = Innsbruck, Museum Ferdinandeum, Ms. 1114; Papier, Tirol, Mitte 15. Jh.

s = Stuttgart, Württ. Landesbibl., cod. theol et phil. 4(0)81; Papier, Schwaben 1479-81; Osw.: f.248v-276r.

u = Budapest, Széchény-Nationalbibl., cod. germ. 31,Papier, Bayern, 1471.

b = Berlin, Staatsbibl. der Stiftung Preuß. Kulturbesitz, Ms. germ. 8(0)288; Papier, Bayern, 2. H. 15. Jh.; Osw.: 14r-80r.";;;OSW;;;;;;;;;;;;;;;;;
Der Salamander;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72 und 155.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;DSA;;;;;;;;;;;;;;;;;
Katzenauge;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;KAA;;;;;;;;;;;;;;;;;
Die freigebige Königin;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Keine Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72 oder 155.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;DFK;;;;;;;;;;;;;;;;;
Der Wolf und das Weib;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;DWW;;;;;;;;;;;;;;;;;
Von Eseln Gäuchen und Affen;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;EGA;;;;;;;;;;;;;;;;;
Der Wolf und die Gänse;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;DWG;;;;;;;;;;;;;;;;;
Der Wolf und sein Sohn;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;WUS;;;;;;;;;;;;;;;;;
Der Wolf und der Bauer;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;WUB;;;;;;;;;;;;;;;;;
Zwei Herren;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;ZWH;;;;;;;;;;;;;;;;;
Kirchtag;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;KIT;;;;;;;;;;;;;;;;;
Die Martinsnacht;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;MAR;;;;;;;;;;;;;;;;;
Gegen Gleichgeschlechtlichkeit;4;Die Kleindichtung des Strickers. Gesamtausgabe in fünf Bänden. Hrsg. v. Wolfgang Wilfried Moelleken. Göppingen, 1974. (GAG 107/I-V);"Noch nicht disambiguiert.

Keine Parallelüberlieferung.  

Keine Links zur Hs. Cologny, Fondation Martin Bodmer, Cod. Bodmer 72 oder 155.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaau----h;;3;;;;STR;Die Kleindichtung des Strickers;GGG;;;;;;;;;;;;;;;;;
Die Heidin;;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 364-468. (= Bibl. d. Mittelalters, Bd. 23);"Das Märe ist in zwei eng verwandten Märenhandschriften überliefert:

H    (1. Viertel 14. Jh. Nordwestböhmen/Oberfranken), Bl.111 rb - 123 ra.

K    (1. Viertel 14. Jh. Nordwestböhmen/Oberfranken, Abschrift aus H), Bl. 112rb-124m (Abdruck: Mailáth/Köffinger, S. 191-240).



Neuerdings tritt auch noch ein Fragment aus der Stiftskirche Ossiach (v. 1818-1862) hinzu: Univ.-Bibl. Klagenfurt, Perg. 64 (vgl. Hans Gröchenig, Ein Fragment einer mittelalterlichen Mærenhandschrift aus der UB Klagenfurt, Ein neu aufgefundenes Fragment zur Heidin B und zu Dietrich ron Glesse: Der Gürtel, in: Buchkunde. Zeitschrift für Buchkunde, Philologie und historische Hilfswissenschaften 1 [1984], S. 3-10). Sigle: o.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000----h;;3;Fassung B;Lemmatisiert, nicht disambiguiert. Ligatur nach oe aufgelöst.;;NDM;;HEI;1996;1;;;;;;;;;;;;;;;
Ritter Beringer;;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 220-242. (= Bibl. d. Mittelalters, Bd. 23);"Autor und Entstehungszeit sind nicht bekannt; die Überlieferung gibt keine brauchbaren Hinweise. Manches spricht

dafür, daß das Gedicht im Alemannischen entstanden ist

(Schorbach, Edward Schröder), ob aber tatsächlich schon in der zweiten Hälfte des 13. Jahrhunderts (Edward Schröder,S.826: ""aus der nächsten Zeit nach Konrad von Würzburg"")in Straßburg, läßt die korrupte Überlieferung nicht erkennen (Schröders Überlegungen zur Reimtechnik müssen von einem bereits rekonstruierten Text ausgehen). Möglich

bleibt weiter auch Entstehung bis ins 15. Jahrhundert (Schorbach: Ende des 14. Jahrhunderts).

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;"Das Märe ist nur in einem Inkunabeldruck überliefert:Die historien von dem ritter beringer. Straßburg: ohne Druckernennung [erschlossen: Matthias Brant] 1495 (GW 3869).

Eine Ausgabe liegt nicht vor; der Text ist bisher nur in einem Faksimile der Inkunabel (Karl Schorbach, Die historien von dem ritter Beringer, Leipzig 1893) und in einer in Versen abgesetzten, interpungierten und um wenige Fehler bereinigten (insgesamt aber nicht fehlerfreien) Transkription (Cramer, Maeren-Dichtung, Bd. 1, S. 71-81) zugänglich. Die Ausgabe gibt den Text der Inkunabel wieder. In einigen Punkten ist in das Erscheinungsbild des Inkunabeltextes eingegriffen.";;NDM;Novellistik des Mittelalters.;RBE;;;;;;;;;;;;;;;;;
Bremse im Blütenhaus;;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / vom Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 96 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;BIB;;;;;;;;;;;;;;;;;
Der ernsthafte König;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 81 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DEK;;;;;;;;;;;;;;;;;
Die Königin vom Mohrenland;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 143 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DKM;;;;;;;;;;;;;;;;;
Der Käfer im Rosenhaus;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 141 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DKR;;;;;;;;;;;;;;;;;
Ehmanns Rat;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia u. dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 117 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;244;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;EHR;;;;;;;;;;;;;;;;;
Von christlichen Werken;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia u. dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 58 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;VCW;;;;;;;;;;;;;;;;;
Von der besten Frau;;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia u. dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 1621 =162a entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaaa---;;244;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;VDB;;;;;;;;;;;;;;;;;
Von drei Freunden;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia u. dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 69 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;VDF;;;;;;;;;;;;;;;;;
Der Tropfen auf dem Stein;;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 112 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aaa---;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DTS;;;;;;;;;;;;;;;;;
