form	count	sample_contexts
sandunge	2	fursten der sandunge Der starcke || fursten der sandunge die do
vorkeuset	1	er die vorkeuset Sein arbeit
sp	1	Wenne also sp spricht dein
stew̆er	1	Deiner gnaden stew̆er Des heiligen
durchfeuchte	1	mein sinne durchfeuchte Und mein
erleuchte	1	mein sele erleuchte Und mir
mvze	1	Das ich mvze czu aller
abenttewer	1	diser lieben abenttewer Dem vromen
beuget	1	deinen dienst beuget Vnd manch
czeuget	1	gut testament czeuget Vnd meret
loze	1	allen cziten loze Recht als
vollekumenheit	1	Sterck vnd vollekumenheit Das sie
nota bene	1	ersterbe = nota bene PROLOGUS Bis
czuchticlich	1	si muze czuchticlich furen in
geseczet	1	vns han geseczet vor Aufsliessen
Aufsliessen	1	geseczet vor Aufsliessen deiner schrifte
vorsperret	1	manchem noch vorsperret sein So
vorirret	1	betoubet vnd vorirret Und von
stramen	1	heiligen minne stramen Hilffe das
muzzent	1	ioch also muzzent tragen Das
vaters­	1	reich des vaters­ mein Das
meitlich	1	tagen Cristum meitlich hat getragen
lasent	1	sich intrewen lasent vinden Und
hŏrent	1	sie gerne hŏrent lesen Oder
vorlegen	1	ich Hie vorlegen fruntlich Der
v­	1	deutsche czunge v­ vnd sprache
prologo	1	in disen prologo Wenne wer
schreibet	1	als vns schreibet da Der
trencken	1	mit vreuden trencken DIses buches
ertrenckte	1	Bei gar ertrenckte Und den
schenckte	1	Und den schenckte Swebil vnd
Ertrenkte	1	mere czu Ertrenkte vnd alle
vbirmut	1	In irem vbirmut ł vnd
ný	1	diener kein ný kein leit
Svn¬	1	kein leit Svn¬ der alle
Gespracht	1	gegenwurticheit getrost Gespracht mit in
suʒen	1	vnd ir suʒen wort Der
durchluchtigisten	1	Und der durchluchtigisten sein Den
schepfunge	1	buche der schepfunge mit sulchen
creauit	1	IN principio creauit worten deus
etterram	1	deus celum etterram Terra autem
vacua	1	inanis et vacua et tenebre
abyssi	1	super faciem abyssi etspiritus domini
etspiritus	1	faciem abyssi etspiritus domini ferebatur
ferebatur	1	etspiritus domini ferebatur sup aquas
sup	1	domini ferebatur sup aquas Dixit
aquas	1	ferebatur sup aquas Dixit quoque
quod esset bona	1	vidit lucem quod esset bona = =
vnnucz̆	1	was aber vnnucz̆ vnd lere
nan­te	1	Und got nan­te das firmament
ŏpfeltragendes	1	Und ein ŏpfeltragendes holcz vnd
furbrachte	1	allso Und furbrachte die erde
yecliches	1	samen ein yecliches noch seinem
in czeichen	1	vnd sint in czeichen vnd in
in tag	1	czeit vnd in tag vnd in
erleuchten	1	firmament vnd erleuchten die erde
furbrengen	1	sprach got furbrengen die wasser
waluische	1	grose GENESIS waluische vnd alle
furbrachten	1	die do furbrachten die wasser
furbrenge	1	got sprach furbrenge die erde
bilde;	1	czu seinem bilde; czu gotes
vnderwerft	1	GENESIS vnd vnderwerft sie vnd
brengent	1	die do brengent samen vf
Uolkvmen	1	II CAPITULUM Uolkvmen sint dorumbe
czirlichkeit	1	alle ir czirlichkeit Und got
volente	1	Und got volente des sibenden
geschepnusse	1	sint die geschepnusse himels und
entsprengte	1	der erden entsprengte wenne got
gereggent	1	dennoch nicht gereggent hette auf
ergiessende	1	der erden ergiessende vber alle
bilte	1	erden Nu bilte dorumbe got
blize	1	erden vnd blize im in
Gepflanczet	1	lebendige sele Gepflanczet hett aber
erfuchten	1	der czu erfuchten das Das
bedellium	1	GENESIS man bedellium den edeln
onichiun	1	edeln stein onichiun Vnd der
vmbfluzzet	1	das do vmbfluzzet alle die
mensschen	1	herre den mensschen vnd satste
satste	1	mensschen vnd satste in in
benante	1	name Und benante alle tyr
mennynne	1	geheissen ein mennynne wenne sie
arglistiger	1	die was arglistiger allen tyren
worvmbe	1	dem weibe worvmbe hat euch
zde	1	das W zde toho GENESIS
anruren	1	das nicht anruren das wir
gelustig	1	czu sehen gelustig vnd nam
nakkent	1	das si nakkent waren do
bvnden	1	waren do bvnden sie czusammen
czusammen	1	bvnden sie czusammen von feigbovm
feigbovm	1	czusammen von feigbovm laup vnd
qwesten	1	in do qwesten Und do
Vorfluchet	1	hast getan Vorfluchet wirstu sein
sl=	1	brust wirstu sl= slingen vnd
knullen	1	wirt czu knullen dein houbt
Dŏrner	1	deines lebens Dŏrner vnd disteln
wierst	1	tragen vnd wierst essen die
sweisse	1	In dem sweisse deines antlitczes
antlitczes	1	sweisse deines antlitczes wirstu essen
rŏkke	1	aus heuten rŏkke vnd tat
kunnende	1	aus vns kunnende gutes vnd
stiesse	1	Und aus stiesse in got
fewrin	1	vnd ein fewrin swert vnd
reutling	1	vnd einen reutling des weges
schafhirte	1	ein s schafhirte vnd ein
fr	1	von den fr fruchten der
veistesten	1	von iren veistesten Und vnser
vorwandelte	1	sein antlicze vorwandelte sich Und
czornige	1	Worumb bistu czornige Und worumb
vorvellet	1	Und worumb vorvellet dein antlicze
nymestu	1	tust das nymestu Ist das
weiss	1	antworte Ich weiss nicht herre
hirtman	1	meines bruders hirtman Und her
vfgetan	1	die do vfgetan hat iren
Uorfluchtig	1	nicht geben Uorfluchtig vnd irre
vordiene	1	ich rewe vordiene Sich heute
enpfinc	1	wip di enpfinc vnd gebar
Sibenueldige	1	meinem swerte Sibenueldige rache wirt
czigstunt	1	siben GENESIS czigstunt sibenstunt Und
geberunge	1	buch der geberunge in dem
geberte	1	iar vnd geberte einen svn
fvne	1	vnd geperte fvne vnd tochter
achczick	1	czwei vnd achczick iare vnd
gerperte	1	alt do gerperte er vnd
iaphet	1	er vnd iaphet UI CAPITULUM
vorrmerten	1	werlde die vorrmerten man Aber
bŏsten	1	zu dem bŏsten alle czeit
zukvnft	1	in die zukvnft vnd wart
erden;	1	antlicze der erden; von dem
volkvmner	1	vnd ein volkvmner man in
vormeiliget	1	gesehen das vormeiliget was die
wonunglein	1	gefugen hŏlczern wonunglein mache in
innewendick	1	smier sie innewendick vnd auswendig
auswendig	1	innewendick vnd auswendig Und allso
Dreihundert	1	mache sie Dreihundert dovmelen sol
wert;	1	seiten hinder wert; Muzheuser vnd
Muzheuser	1	hinder wert; Muzheuser vnd drilch
gekamerte	1	vnd drilch gekamerte heuser mache
zufuren	1	ich wil zufuren di wasser
archen;	1	in die archen; du vnd
y̆ngeen	1	yeclichem sulln y̆ngeen mit dir
wil ich	1	siben tage wil ich reggen auf
gevŏggeln	1	aus allen gevŏggeln vnd aus
sibenczenden	1	an dem sibenczenden tage des
vorborgene	1	vnd alle vorborgene schawer wasser
yeclichs	1	Und ein yeclichs vligendes noch
vligendes	1	ein yeclichs vligendes noch seinem
si und er	1	eyngangen Sie si und er aus allem
virczick	1	ein flute virczick tage vnd
hŏher	1	das wasser hŏher vber die
gevŏgils	1	erden Des gevŏgils der tir
behielden	1	di wasser behielden die erde
intruckenten	1	die wasser intruckenten vf der
geraste	1	ir fuze geraste do karte
vienck	1	hant vnd vienck sie vnd
sibentag	1	dornach anderr sibentag vnd liesse
ei¬	1	abent tragende ei¬ nen holczweig
holczweig	1	ei¬ nen holczweig mit grunen
vorname	1	Do von vorname das auf
getruckent	1	des menedis getruckent was die
vorrfluche	1	nichte nicht vorrfluche ich furbas
bŏzem	1	herczens zu bŏzem geneiget sint
sneidens	1	sehens vnd sneidens kelde vnd
reget	1	das sich reget vnd lebt
brvders	1	vnd seines brvders wil ich
vŏgeln	1	wol in vŏgeln als in
reisende	1	flut zu reisende die erde
vberczihe	1	wenne ich vberczihe mit IX
cap	1	mit IX cap ̄ GENE
̄	1	IX cap ̄ GENE wolken
Uorflucht	1	sprache her Uorflucht sei das
grŏsseren	1	bruder des grŏsseren Dicz sint
geslechtwn	1	in iren geslechtwn Dicz ist
flūte	1	noch der flūte CAPITULUM XI
Absteig	1	alle erden Absteig aber vnser
bauten	1	den do bauten die kinder
enlasen	1	angehaben noch enlasen nicht von
strew̆te	1	danne zu strew̆te sie vnser
dreissic	1	er geperte dreissic vnd virhundert
achtczehn	1	hundert vnd achtczehn iare vnd
hausvrov	1	der name hausvrov was Und
melcha	1	vaters vnd melcha vnd des
grŏsen	1	vnd wil grŏsen deinen namen
aufganck	1	der svnnen aufganck vnd stifte
gestweise	1	were aldo gestweise wenne der
hausvrow̆	1	vnd sein hausvrow̆ vnd alles
feuchtet	1	gar durch feuchtet wart e
ýeclicher	1	ein ander ýeclicher von seinem
gegnŏten	1	in den gegnŏten bei dem
Dorūmbe	1	sie geben Dorūmbe bewegte sein
leimbrvnne	1	hette vil leimbrvnne Und also
amorrers	1	tal des amorrers vnd bruder
Slahunge	1	von der Slahunge Vnd der
geschep	1	do hat geschep ESIS fet
fet	1	geschep ESIS fet himel vnd
besitczer	1	der ein besitczer ist des
schaffers	1	meines houses schaffers svn ist
turckel	1	sei ein turckel touben vnd
vŏgil	1	Aber die vŏgil teilte er
vorvleugte	1	as vnd vorvleugte sie vnd
vndergieng	1	die svnne vndergieng do vil
vndergienge	1	ein vinstere vndergienge yn vnd
vorenlenden	1	samen sich vorenlenden wirt in
vnderwerfen	1	zu dienste vnderwerfen vnd wirt
vsczihen	1	werden sie vsczihen mit grosem
rauchender	1	erscheine ein rauchender bakouen Und
teilungen	1	czwisschen den teilungen An dem
Saray	1	I CAPITULUM Saray do von
eýn	1	gepern Gee eýn czu meiner
vorsmehnusse	1	mich in vorsmehnusse Richte got
gebruche	1	deiner hant gebruche ir als
kvmestu	1	mait wanne kvmestu oder wo
demutige	1	SIS vnd demutige dich vnder
vormenige	1	geczalt werden vormenige Und sprach
betrubnusse	1	hat dein betrubnusse Dieser wirt
grymmiger	1	wirt ein grymmiger mensche sein
Sechsvndnevnczig	1	seinen namen Sechsvndnevnczig iar alt
grŏslich	1	dich wachsende grŏslich vnd wil
pilgereinunge	1	erden deiner pilgereinunge alle die
dor̆umbe	1	Vnd du dor̆umbe wirst behuten
entspreissen	1	volkes werden entspreissen vz im
wenestu	1	seynem herczen wenestu das dem
nevnczic	1	geborn vnd nevnczic iar alt
vorschame	1	vleisch irr vorschame Czu hant
funden habe	1	ich genade funden habe in deinen
furgee	1	ougen nicht furgee deinen diener
fūrbas	1	dornach geet fūrbas Wenne worumbe
geczeltes	1	tur des geczeltes wenne sie
vnmugliche	1	ichtes icht vnmugliche Noch dem
loukente	1	svn Nu loukente = vnd
beleitende	1	mit in beleitende sie Und
zufure	1	so das zufure der herre
tŏtest	1	das du tŏtest den gerechten
vngerechte	1	als der vngerechte Das ist
vrteilet	1	der do vrteilet alle werlt
funfer	1	Ist das funfer mynner sint
vnmut	1	Nicht habe vnmut sprach er
dreisick	1	do vinde dreisick Wenne zu
czurnest	1	du nichte czurnest ob ich
tustv	1	spreche Was tustv denne ob
osterspeise	1	kochte in osterspeise vnd sie
vmblegten	1	stat vnd vmblegten das hous
Herous	1	sie erkennen Herous gieng zu
gebruchet	1	euch vnd gebruchet der wie
Eyngegangen	1	sprachen sie Eyngegangen bistu als
oussen	1	die dort oussen waren slugen
eidemen	1	zu seinen eidemen die do
Steet	1	vnd sprach Steet ouf vnd
vorsahen	1	vnd sie vorsahen sich des
schimpfte	1	als er schimpfte mit in
gegrŏzet	1	vnd hast gegrŏzet dein barmherczicheit
heiltest	1	das du heiltest mein sele
grunte	1	das do grunte in dem
vfsteigen	1	Und sach vfsteigen die vseln
vseln	1	vfsteigen die vseln von der
vmbkerunge	1	von der vmbkerunge der stete
grŏsere	1	Vnd die grŏsere gienk ein
grosere	1	sprach die grosere zu der
gr̆osere	1	gepar die gr̆osere einen svn
suden	1	lant gegen suden vnd wonte
svndigest	1	du icht svndigest in mich
. XX . c	1	pzde toho . XX . c GENE Nu
sloyer	1	- einem sloyer deiner ougen
hŏrt	1	wer das hŏrt der wirt
seugte	1	des das seugte einen svn
entwenung	1	tage seiner entwenung Vnd do
Hertlich	1	meinem svne Hertlich enpfieng das
vorczerten	1	do sie vorczerten das wasser
geschiessen	1	bogen mag geschiessen wenne sie
wustnusse	1	in der wustnusse vnd wart
schutcze	1	ein iunger schutcze vnd wonte
ochozat	1	sein eidem ochozat vnd sein
schadest	1	mir ichte schadest vnd meinen
ochozath	1	stund vnd ochozath sein eidem
philistischen	1	bovman der philistischen erden vil
hovfen	1	ouf den hovfen des holczes
derwischte	1	hant vnd derwischte das swert
entv	1	kint noch entv im nichtes
dornech	1	dem pusch dornech hangen mit
angeczun	1	in ganczem angeczun ESIS ten
sẹị́den	1	Und nante sẹị́den namen der
gebotschepft	1	do wart gebotschepft so das
vvon	1	ouf gestund vvon dem ampte
beigrafte	1	recht der beigrafte mit euch
begrebst	1	seinem grabe begrebst du in
eusersten	1	an dem eusersten teil seines
vmbsteunge	1	in der vmbsteunge des volkes
begrab	1	vnd also begrab ich meinen
scoth	1	Uier hundert scoth silbereiner vnd
vorsuchter	1	silbereiner vnd vorsuchter offenbarr mvncze
offenbarr	1	vnd vorsuchter offenbarr mvncze Und
mvncze	1	vorsuchter offenbarr mvncze Und bestetigt
vn̄	1	die gruft vn̄ alle sein
bŏvme	1	alle sein bŏvme in allen
abraamen	1	dem vmbringe abraamen zu einer
houseˢ	1	knechte seines houseˢ SIS der
vormvnd	1	der do vormvnd was alles
gelucklich	1	vnser herre gelucklich het seinen
futers	1	mer Und futers vnd hew̆es
hew̆es	1	futers vnd hew̆es ist zu
abgebrochen	1	der nicht abgebrochen hat sein
gleiches	1	vnd mich gleiches weges hat
steestu	1	herren worumb steestu hie vor
houˢ	1	bereitet das houˢ vnd die
entsatilte	1	herwerge vnd entsatilte die camelen
heymelichen	1	mir selben heymelichen wandelte do
trinkken	1	ein wenig trinkken Und sie
trenckte	1	tranck ouch trenckte sie die
serm	1	vn GEN serm herren got
gliches	1	der mich gliches weges hat
meýnem	1	czihe zu meýnem herren Do
delboram	1	sein geselschafft delboram vnd wunschten
besitcze	1	tousent vnd besitcze dein same
bedechte	1	er sichs bedechte ouf dem
hulte	1	mantil vnd hulte sich Aber
gelindet	1	von wart gelindet etcetera XXV
volfurter	1	mit wol volfurter czeit und
benentnussen	1	in iren benentnussen vnd in
casteln	1	in irn casteln vnd in
leidigten	1	irm leibe leidigten sich an
zukunf	1	es also zukunf SIS tig
tig	1	zukunf SIS tig was wor
enpfahens	1	ist denne enpfahens notdurft gewesen
czwinlingel	1	secht czwei czwinlingel wurden in
rouhes	1	als ein rouhes vel vnd
Sechczic	1	sie in Sechczic iar alt
gewuchsen	1	die nv gewuchsen do ward
Uorkoufe	1	so sprach Uorkoufe mir dein
ringewegende	1	gink hin ringewegende das er
vnfruchbercheit	1	noch der vnfruchbercheit die do
geheis	1	behutet mein geheis vnd meyn
ermorten	1	leichte icht ermorten durch irr
veldige	1	iare hundert veldige frucht Und
vorfulten	1	gegraben die vorfulten sie im
vorhet	1	sein vater vorhet genant Und
leidigte	1	dich icht leidigte sunder mit
gasen	1	do sie gasen vnd getruncken
vorserten	1	alle beide vorserten vnd betrubten
vortunkelt	1	waren im vortunkelt vnd mochte
getreist	1	hin ein getreist vnd er
czicklein	1	von den czicklein stalte sie
blŏse	1	vnd die blŏse des halses
sitcze	1	ouf vnd sitcze vnd is
mochtestu	1	svne Wie mochtestu das also
greife	1	dich an greife meyn svn
brufe	1	das ich brufe ob du
beczeichenten	1	svnes gleichnusse beczeichenten Nu gesegente
getrank	1	Do er getrank do sprach
zusen	1	des gewandes zusen ruch do
taw̆	1	von dem taw̆ des himels
ŏles	1	weines vnd ŏles vnd die
Kovm	1	segen erfullet Kovm hete seine
erschrecksal	1	mit grosem erschrecksal vnd mere
quemest	1	e du quemest Und ich
geczukt	1	mir velschlich geczukt meinen segen
czeuh	1	ouf vnd czeuh vnd fleuch
vorgesse	1	vngunst Und vorgesse des das
vordreuset	1	zu Mich vordreuset meines lebens
tern	1	XXVIII GENE tern deines ŏhems
volkkes	1	scharen des volkkes vnd gebe
pilgereimvnge	1	erden deiner pilgereimvnge die er
gehorcht	1	das het gehorcht dem vater
vor hette	1	die er vor hette tochter abrahams
slefest	1	der du slefest die wil
huter	1	wil dein huter sein wo
anczihe	1	das ich anczihe vnd das
geluclichen	1	wider kvme geluclichen zu dem
bedacket	1	brvnne was bedacket mit einem
gesamten	1	alle dar gesamten so wegten
trenkten	1	brvnne vnd trenkten die schaf
getrencken	1	die schaf getrencken Und noch
blŏde	1	hete aber blŏde vnd trifende
trifende	1	blŏde vnd trifende ougen was
schonerr	1	was aber schonerr gestalt vnd
ersamers	1	gestalt vnd ersamers angesichtes Die
gewŏnlichen	1	het als gewŏnlichen ist Und
hochczit	1	zu der hochczit Erfulle die
Erfulle	1	der hochczit Erfulle die tage
zulegunge	1	wochen diser zulegunge Und vber
zulegen	1	geben vnd zulegen Umb ein
entslos	1	vorsmehte do entslos er iren
demuticheit	1	gesehen mein demuticheit Nu wirt
voreinen	1	mit mir voreinen do von
czorniclich	1	antworte ir czorniclich vnd sprach
beravbet	1	der dich beravbet hat der
bouchs	1	fruchte deines bouchs Und sie
erhŏret	1	hat mich erhŏret vnd hat
Gleichet	1	den sprach Gleichet hat mich
bequemliche	1	wenne ein bequemliche czeit kvmt
deubstrafe	1	fleckecht do deubstrafe mich vmbe
sunderte	1	bitest Und sunderte des selben
swarczer	1	weisser vnd swarczer wolle die
albereine	1	dorumbe nam albereine gerten grune
mandeleine	1	grune vnd mandeleine vnd ohorneine
ohorneine	1	mandeleine vnd ohorneine vnd eines
geczoch	1	rinden ab geczoch do schinen
vngeschelet	1	aber noch vngeschelet was das
fleckechte	1	geperten alle fleckechte schaf vnd
zulas	1	der spete zulas was vnd
spetlingen	1	das die spetlingen waren vnd
czehenstunt	1	meinen lon czehenstunt gewandilt Und
mancherleie	1	do waren mancherleie vnd fleckecht
vbriges	1	wir mere vbriges von dem
gepotscheft	1	Do wart gepotscheft herren an
sern	1	vn GENE sern herren Hute
treibest	1	mir vorholn treibest weck meine
poucken	1	vnd mit poucken vnd mit
gehengit	1	hast nicht gehengit das ich
Tŏrlichen	1	meine tochter Tŏrlichen hastu getan
begertest	1	Do du begertest zu den
deupstrafest	1	mich aber deupstrafest Bei welchem
enwost	1	Das sprechende enwost er nicht
suchens	1	sorge meines suchens GENE Und
vnmutig	1	Und wart vnmutig vnd sprach
czukten	1	die wolf czukten hab ich
Uirczehen	1	dir gedienet Uirczehen iar vmbe
Tŏchter	1	antworte im Tŏchter vnd kinder
geczeuges	1	Grap des geczeuges Und sprach
vbirtrittest	1	Oder du vbirtrittest mir gedenckende
meinen herren	1	zu dir meinen herren also das
yordan	1	vbir disen yordan vnd nv
Erlŏse	1	her wider Erlŏse herre mich
bŏcke	1	vnd czweinczig bŏcke Czweihundert vnd
Czweihundert	1	czweinczig bŏcke Czweihundert vnd czweinczig
Sougende	1	czweinczig wider Sougende camelen mit
keuchlein	1	mit iren keuchlein dreissick Uierczig
Uierczig	1	keuchlein dreissick Uierczig ku vnd
den herden, sprechend	1	noch volgten den herden, sprechend Semliche wort
frve	1	her gar frve was ouf
gefurte	1	das vber gefurte das zu
ranck	1	ein man ranck mit im
suchestu	1	antworte Worczu suchestu meinen namen
huffalczte	1	Her vorwar huffalczte mit dem
nehnte	1	zu im nehnte sein bruder
vmbehalste	1	enkegen vnd vmbehalste in vnd
kniten	1	kinder vnd kniten vor in
pit dich	1	mein bruder pit dich sunder hab
Kovme	1	alle dinck Kovme betwang in
vlehende	1	der bruder vlehende Und er
mecklich	1	wil volgen mecklich noch seinem
an dem selben wege	1	selben tages an dem selben wege hin wider
bowte	1	gegen Und bowte do ein
"vnd nante der selben stat namen Sochot
                           das ist geczelt"	1	"seine geczelt vnd nante der selben stat namen Sochot
                           das ist geczelt vnd czoch"
gegnŏt	1	bei der gegnŏt vnd koufte
gestakt	1	dem er gestakt hette die
beschowte	1	das sie beschowte die vrowen
euei	1	die ersach euei svn der
czuckte	1	haben vnd czuckte sie vnd
vnczimlichs	1	hette ein vnczimlichs werck begangen
anhengit	1	svnes sele anhengit ewer tochter
brawtschaft	1	ein ander brawtschaft Ew̆er tŏchter
bow̆t	1	ewerr gewalt bow̆t sie vnd
koufslagit	1	sie vnd koufslagit Und besitczet
besitczet	1	koufslagit Und besitczet sie Sunder
noczogin	1	vmb das noczogin ir swester
gefrunden	1	wir vns gefrunden mit euch
iungelinck	1	noch der iungelinck vor czoch
friedsam	1	die sint friedsam vnd wŏllen
koufslagen	1	vns Sie koufslagen in der
uolk	1	den ein uolk Nu volgten
kvnlich	1	die stat kvnlich vnd erslugen
noczogens	1	rache des noczogens Ire schaf
czŏrniclichen	1	Do sprach czŏrniclichen czu vnd
gehessick	1	habt mich gehessick gemachet den
vlohst	1	do du vlohst deinen bruder
Werft	1	vnd sprach Werft von euch
betrubnuss	1	tage meiner betrubnuss vnd was
vmbligenden	1	die ł vmbligenden stete das
dorvm	1	weck czogen dorvm quam gegen
stackte	1	fur vnd stackte aldo sein
vnvorswigen	1	im nicht vnvorswigen Aber der
Selphe	1	Die kinder Selphe der meide
achtczig	1	iar vnd achtczig iar vnd
euehers	1	svnes des euehers Und die
thamma	1	ein slafweip thamma die geperte
erstgebornes	1	svne des erstgebornes svnes Der
†lantmannes†	1	horren des †lantmannes† der selben
geherscht	1	die do geherscht han in
reichende	1	w wart reichende der svn
gepitunge;	1	erden irr gepitunge; das ist
seýnen	1	schaf mit seýnen brudern noch
besagte	1	Und her besagte seine bruder
gemengtin	1	im einen gemengtin rock von
sehunge	1	neides groste sehunge Und her
vmbsteende	1	ewer garben vmbsteende an beten
silnde	1	wech GENE silnde wider ein
trovmer	1	Secht der trovmer der kumet
den geenckelten vnd	1	im abe den geenckelten vnd den gemengten
gemengten	1	den geenckelten vnd den gemengten ł SIS
weguertige	1	sahen sie weguertige komen von
mýrren	1	harcz vnd mýrren gegen Dorumbe
vromet	1	brudern was vromet vns ist
czohen	1	rede vnd czohen in ous
furgeenden	1	vnd den furgeenden den koufleuten
koufleuten	1	furgeenden den koufleuten vorkouften sie
tvnkten	1	v vnd tvnkten den in
beweinende	1	herein gewant beweinende seynen svn
besamten	1	czeit Nu besamten sich zu
absteigen	1	Ich wil absteigen zu meinem
odollamitischen	1	zu einem odollamitischen manne der
erwekkest	1	das du erwekkest einen samen
vorgos	1	slafen vnd vorgos den samen
erflug	1	Und dorumbe erflug in vnser
gewechset	1	mein svn gewechset wenne er
scherern	1	zu den scherern seiner schaf
odollamite	1	vnd der odollamite der schafmeister
schafmeister	1	odollamite der schafmeister seiner hert
witwetums	1	gewant des witwetums vnd nam
wandilte	1	vnd SIS wandilte ir geperde
steiges	1	an des steiges wegscheide do
vorhutert	1	ir ougen vorhutert das man
erkente	1	sie nicht erkente Nu ł
beislafens	1	gebrouchest meines beislafens Her sprach
gesendest	1	mir das gesendest das du
beislafen	1	mit einem beislafen enpfienk das
witwetum	1	an ir witwetum gewant GENE
odollamiten	1	bei dem odollamiten so das
lugstrafen	1	doch nicht lugstrafen ich hab
Gevnkeuscht	1	man sprechende Gevnkeuscht hat dein
vorbrue	1	man sie vorbrue Do man
czwiling	1	do erscheinen czwiling in irem
netcze	1	dich das netcze Und vmbe
tuchil	1	das rote tuchil was; den
was;	1	rote tuchil was; den nante
purckherr	1	koufte der purckherr der hermeister
egiptisch	1	hermeister ein egiptisch man ous
schŏnes	1	aber was schŏnes antliczes vnd
czirlicher	1	antliczes vnd czirlicher angesicht Und
svnderliches	1	werkis hette svnderliches vnd heimliches
heimliches	1	svnderliches vnd heimliches zu schicken
slicze	1	bei dem slicze des mantels
slife	1	bei mir slife vnd do
geloubens	1	geczeugnusse ires geloubens den behabten
hebraische	1	mir der hebraische knecht den
vorspotte	1	er mich vorspotte Und do
vorslozzen	1	er ynne vorslozzen Aber vnser
kerckers	1	fursten des kerckers der gab
svndigten	1	vnd diener svndigten der schencke
kvnigis	1	schencke des kvnigis zu egipten
pecke	1	vnd der pecke irem herren
geuangen	1	ouch den geuangen diente Eczliche
Eczliche	1	geuangen diente Eczliche czeit gienk
ouslegung in	1	einer bequemlichen ouslegung in Czu den
trourig	1	vil GENE trourig Do vragte
ouslege	1	vns sie ouslege Und der
gemehlich	1	wurffen ous gemehlich loup vnd
czeitigen	1	die weintrouben czeitigen Und den
ratest	1	das du ratest SIS gutlichen
deuplichn	1	ich bin deuplichn ab getragen
vnschuldiclichen	1	Und hie vnschuldiclichen in den
vornvnfticlichn	1	den trovm vornvnfticlichn hett entslossen
entslossen	1	vornvnfticlichn hett entslossen vnd sprach
obriste	1	der allir obriste tragen allirlei
bakwerk	1	machet ous bakwerk vnd sach
kreucz	1	an ein kreucz hengen vnd
gepurtliche	1	was der gepurtliche tack hern
galgin	1	an den galgin so das
gase	1	ergangen vor gase seines troumes
ICAPITULUM	1	troumes ouslegers ICAPITULUM nOch czwein
hulbigen	1	weide an hulbigen steten Und
oufstunden	1	siben ochsen oufstunden ous dem
vngenemer	1	wasser gar vngenemer vnd vorkrankt
vorkrankt	1	vngenemer vnd vorkrankt an durre
grvnen	1	wassers an grvnen vnd an
fruchtbern	1	vnd an fruchtbern stetin vnd
wunderschŏne	1	veiste vnd wunderschŏne waren Nu
ouslegte	1	im den ouslegte Und zu
schenkken	1	leczten der schenkken meister gedachte
beweist	1	dinge zukunft beweist Ich wart
wandilten	1	vnd ł wandilten im seine
ouslegen	1	gar weislichen ouslegen antworte An
abrupften	1	die grvne abrupften Und sich
ŏchsen	1	ander siben ŏchsen gar vngestalterr
vngestalterr	1	ŏchsen gar vngestalterr vnd magerr
magerr	1	vngestalterr vnd magerr das ich
vngestalter	1	ich ny vngestalter in lande
vnvletikeit	1	in sulcher vnvletikeit vnd magerheit
magerheit	1	vnvletikeit vnd magerheit also vorsochten
vorsochten	1	magerheit also vorsochten sie vnd
dorten	1	sie vnd dorten Nu erwachte
entsliessen	1	den nicht entsliessen antworte Des
fruchbere	1	eher siben fruchbere iar sint
cranke	1	Und siben cranke ochsen vnd
magre	1	ochsen vnd magre die do
denunge	1	or GENE denunge werden volbracht
teure	1	ander siben teure iare vnd
vnfruchtbere	1	iare vnd vnfruchtbere vnd also
Uorczern	1	vnd genuge Uorczern wirt der
vornunftigen	1	einen steten vornunftigen vnd secze
fruchtberen	1	siben guten fruchtberen iaren die
zukvnftig	1	die nv zukvnftig sint sammen
teuren	1	zukunftigen siben teuren iaren die
derbe	1	icht vor derbe daz lant
gevile	1	hunger Nu gevile der rat
etwenn̆	1	Muge wir etwenn̆ vinden einen
sneweissen	1	mit einem sneweissen seideinen gewande
golnir	1	ein guldein golnir vmb seinen
butil	1	schreien einen butil das sie
gleichet	1	des meres gleichet Und die
vbirwunne	1	Und die vbirwunne vbir trat
Uorgessen	1	namen sprechende Uorgessen hat mich
wachssende	1	her sprechende wachssende hat mich
genugsamkeit	1	iare der genugsamkeit die do
kouffen	1	czogen zu kouffen wenne hunger
hertlicher	1	er in hertlicher zu vnd
besehet	1	Das ir besehet die vnbewarten
vnbewarten	1	besehet die vnbewarten slos des
landes;	1	slos des landes; dorumb seit
vngemaurten	1	anders Die vngemaurten stete diser
gebrufe	1	bis ich gebrufe was ir
gekouffet	1	das ir gekouffet habt in
geprufen	1	rede war geprufen muge das
weicze	1	secke mit weicze vnd das
czeren	1	zu vor czeren Die taten
vorretnusse	1	keiner hand vorretnusse C Czwelf
prufe	1	Also GENE prufe ich euch
Ew̆err	1	fridsam seit Ew̆err bruder einen
cziht	1	notdurft vnd cziht hin vnd
czerten	1	vor SIS czerten die spise
beschow̆et	1	eides Ir beschow̆et nicht mein
vngemache	1	Czu meinem vngemache habt ir
ŏrdenlich	1	vragte vns ŏrdenlich noch ein
gevorschet	1	vnd er gevorschet hett Nu
vorczihenusse	1	nicht das vorczihenusse hie czwischen
stackt	1	dem bovme stackt die tropfen
storar	1	dem bovme storar das ous
terevent	1	dem bovme terevent Und ein
mandelfrucht	1	honigs vnd mandelfrucht Und czwiualdiges
